12;16;52;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.java;343;8737ed6a53ea31874f51fdeafed1f152
13;3;29;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/presentation/model/MainUiState.java;313;acbccdb220997e9d83cd27ff343a2237
13;3;29;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/stubs/debug/com/android/synclab/glimpse/presentation/model/MainUiState.java;313;acbccdb220997e9d83cd27ff343a2237
14;43;53;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/presentation/view/ChargingIconView.java;274;9ee4de74b73ddd42118588e05ec8b38c
14;43;53;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/stubs/debug/com/android/synclab/glimpse/presentation/view/ChargingIconView.java;274;9ee4de74b73ddd42118588e05ec8b38c
15;3;21;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/presentation/model/EventChangeParam.java;247;2c46ea536e5bd8880e03e0ed3e322073
15;3;21;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/stubs/debug/com/android/synclab/glimpse/presentation/model/EventChangeParam.java;247;2c46ea536e5bd8880e03e0ed3e322073
16;3;22;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/presentation/viewmodel/MainViewModelFactory.java;235;a45ce2fa31eda898b6c8c8bf0eb3ce97
16;3;22;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/stubs/debug/com/android/synclab/glimpse/presentation/viewmodel/MainViewModelFactory.java;235;a45ce2fa31eda898b6c8c8bf0eb3ce97
17;3;35;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/incrementalData/debug/stubs/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.java;227;cbd005041beb54e815b1b7eb68b25c19
17;3;35;/home/huy/Desktop/workspace/gitprojects/batmon/app/build/tmp/kapt3/stubs/debug/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.java;227;cbd005041beb54e815b1b7eb68b25c19
