Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$ItemId;0;6;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.BatteryOverlayService;0;174;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.BatteryOverlayService$Companion;0;21;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/utils/InputDeviceLogUtils.kt;com.android.synclab.glimpse.utils;com.android.synclab.glimpse.utils.InputDeviceLogUtils;0;13;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.ControllerProfile;0;5;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Toggle;0;4;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel;0;10;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$None;0;1;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.ChargingIconView;0;42;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$Companion;0;9;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter$Companion;0;3;CLASS;N
