Metric;Path;Entity;Value;LineNo;Violation
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;getBatteryPercent;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;component9;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;isServiceRunning;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;getControllerDescriptor;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;component2;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;isMonitoringEnabled;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;component3;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;component8;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;component4;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;component3;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;component5;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;component2;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;EventChangeParam;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;getState;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;copy;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;getTimestampMs;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;getSource;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;getEventType;1;0;N
