Type;Signature;Path;LineNo
UNUSED_FUNCTION_PARAMETER;$constructor_marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_FUNCTION_PARAMETER;it;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;30
UNUSED_CLASS_METHOD;BatteryProgressView;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;APPLY_THROTTLE_MS;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_METHOD;component3;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_FUNCTION_PARAMETER;$constructor_marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;0
UNUSED_CLASS_METHOD;component2;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/GamepadBatterySnapshot.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;$ENTRIES;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;$ENTRIES;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_FUNCTION_PARAMETER;$constructor_marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
UNUSED_CLASS_METHOD;component2;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;ACTION_SHOW_OVERLAY;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_METHOD;component6;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_CLASS_DATA_MEMBER;setPs4ControllerLightColorUseCase;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_METHOD;provideDeleteControllerProfileUseCase;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;NOTIFICATION_ID;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_METHOD;getEntries;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;LOADING;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_CLASS_METHOD;MainUiState;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_CLASS_METHOD;valueOf;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_CLASS_METHOD;component6;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_FUNCTION_PARAMETER;$marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;12
UNUSED_LOCAL_VARIABLE;$i$f$logDiagnosticDebug;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;571
UNUSED_LOCAL_VARIABLE;$i$a$-apply-GlimpseToggleView$animateThumbTo$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;155
