RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;154;getControllerDescriptor;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;111;getControllerDescriptor;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;156;isMonitoringEnabled;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;112;getControllerName;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;MainViewModel;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;20;MainUiState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;110;getControllerUniqueId;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;161;EventChangeParam;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;71;CONTROLLER_INFO_UPDATED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;64;INPUT_MANAGER_UNAVAILABLE;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;82;DISCONNECTED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
