Metric;Path;Package;Class;LineNo;Value;Violation
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity;0;87;Y
CBO;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;com.android.synclab.glimpse.di;com.android.synclab.glimpse.di.AppContainer;0;16;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;com.android.synclab.glimpse.di;com.android.synclab.glimpse.di.AppContainer$Companion;0;4;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel;com.android.synclab.glimpse.presentation.viewmodel.MainViewModelFactory;0;3;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.BatteryProgressView;0;24;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog;0;41;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.ClosePs4ControllerLightSessionUseCase;0;1;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingsPanelView;0;14;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$ItemId;0;2;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.BatteryOverlayService;0;24;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.BatteryOverlayService$Companion;0;1;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/utils/InputDeviceLogUtils.kt;com.android.synclab.glimpse.utils;com.android.synclab.glimpse.utils.InputDeviceLogUtils;0;7;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerProfile.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.ControllerProfile;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Toggle;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$None;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.ChargingIconView;0;13;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$Companion;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter$Companion;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter;0;10;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog$show$seekBarListener$1;0;5;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter$SettingItemViewHolder;0;20;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/overlay/OverlayWindowController.kt;com.android.synclab.glimpse.infra.overlay;com.android.synclab.glimpse.infra.overlay.OverlayWindowController;0;15;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/state/MonitoringStateStore.kt;com.android.synclab.glimpse.data.state;com.android.synclab.glimpse.data.state.MonitoringStateStore;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Indicator;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.ChargingIconView$GlowLayerView;0;11;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.ControllerLightCommandResult;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog$Companion;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.GlimpseToggleView$Companion;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.GlimpseToggleView;0;20;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.kt;com.android.synclab.glimpse.infra.notification;com.android.synclab.glimpse.infra.notification.MonitoringNotificationController;0;10;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.GetPrimaryGamepadBatteryUseCase;0;1;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/model/GamepadBatterySnapshot.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.GamepadBatterySnapshot;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Action;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$CachedLightTarget;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl;0;48;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;com.android.synclab.glimpse.infra.repository.roomdb;com.android.synclab.glimpse.infra.repository.roomdb.RoomControllerProfileRepository;0;10;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileDao.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.ControllerProfileDao;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.DeleteControllerProfileUseCase;0;1;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;com.android.synclab.glimpse.infra.repository;com.android.synclab.glimpse.infra.repository.GamepadRepositoryImpl$Companion;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$3;0;2;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.GetPrimaryGamepadBatteryUseCaseKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.CustomizeVibeDialogKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.SetPs4ControllerLightColorUseCaseKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.svace.GetControllerProfileUseCaseKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.svace.GlimpseDatabaseKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;com.android.synclab.glimpse.presentation;com.android.synclab.glimpse.presentation.MainActivity$setupSettingsLists$1;0;2;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel;com.android.synclab.glimpse.presentation.viewmodel.svace.MainViewModelKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.svace.ChargingIconViewKt;0;0;N
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.svace.ControllerProfileEntityKt;0;0;N
