Metric;BlockKey;Path;LineStart;LineEnd;LineCount;Token;Violation
DC;1;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;55;63;9;72;Y
DC;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;960;968;9;72;Y
DC;2;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/RoomControllerProfileRepository.kt;55;63;9;72;Y
DC;2;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;960;968;9;72;Y
