113;NORET;Number of return statements in a method (not return points).;func level metrics
115;NOOVERLOADFUNC;The number of times this method is overloaded.;func level metrics
116;MAXDEPTH;Maximum depth level of a method.;func level metrics
117;USERANK;The importance level based on the usage informaton (cf. the PageRank Algorithm: http://ianrogers.uk/google-page-rank).;func level metrics
119;NOCONTINUE;Number of continue statements in a method (unstructured control flow statement).;func level metrics
121;NOIFWOELSE;Number of if statement with else if and without else. (This is consistent with the requirement to have a final default caluse in a switch statement).;func level metrics
122;NOSWITCHWODEFAULT;Number of switch statements without a default statement.;func level metrics
124;NOEMPTYDEFAULT;Number of empty default clauses in switch statements.;func level metrics
125;FURACOMPSTATEMENT;Ratio of complex lines to total lines in a method (threshold: 3).;func level metrics
126;NOLONGIDENTIFIERS;Number of long identifiers in a method (threshold: 31).;func level metrics
127;NOMIXEDOPERATORS;Number of increment(++) and decrement(--) operators which are used with other operators.;func level metrics
128;FURALONGLINES;Ratio of long lines to total lines in a method (threshold: 80).;func level metrics
129;NOMERGEDLINES;Number of merged lines that can be separated on multiple lines.;func level metrics
130;NOUNUSEDPARAMS;Number of unused method parameters.;func level metrics
131;NOUNUSEDVARS;Number of unused local variables.;func level metrics
133;MODIFIEDCYCLOMATIC;Consider a switch as a whole block (instead of a case as a whole block).;func level metrics
134;MAXLEVEL_HIS;MAXLEVEL without a switch-like if (if elseif else).;func level metrics
135;LOC_METHODBODY;Number of lines of code in a method body.;func level metrics
136;STRICTCYCLOMATIC;CYCLOMATIC with added || and && operators.;func level metrics
137;COGNITIVECYCLOMATIC;Sonarqube complexity.;func level metrics
138;TOKEN_METHOD;Number of tokens.;func level metrics
139;NANCNBLOC_METHOD;The number of lines of code in a method not including asserts, comment lines and blank lines.;func level metrics
140;NNNCNBLOC_METHOD;The number of lines of code in a method not including local classes, comment lines and blank lines.;func level metrics
141;NANNNCNBLOC_METHOD;The number of lines of code in a method not including local classes, asserts, comment lines and blank lines.;func level metrics
142;NCTOKEN_METHOD;Number of non-comment tokens.;func level metrics
143;CTOKEN_METHOD;Number of comment tokens.;func level metrics
144;NOLOCALS_METHOD;Number of local variables in a method.;func level metrics
